Country,Last,Previous,Reference,Unit
Singapore,2.4,2.6,Dec/21,%
Switzerland,2.6,2.6,Jan/22,%
Japan,2.7,2.8,Dec/21,%
Mexico,3.5,3.7,Dec/21,%
Netherlands,3.6,3.8,Jan/22,%
South Korea,3.6,3.8,Jan/22,%
United States,4,3.9,Jan/22,%
United Kingdom,4.1,4.1,Dec/21,%
Australia,4.2,4.2,Jan/22,%
Russia,4.3,4.3,Dec/21,%
China,5.1,5,Dec/21,%
Germany,5.1,5.2,Jan/22,%
Indonesia,6.49,6.26,Sep/21,%
Canada,6.5,6,Jan/22,%
Saudi Arabia,6.6,6.6,Sep/21,%
Euro Area,7,7.1,Dec/21,%
India,8,7,Dec/21,%
France,8.1,8,Sep/21,%
Argentina,8.2,9.6,Sep/21,%
Italy,9,9.1,Dec/21,%
Turkey,11.2,11.3,Dec/21,%
Brazil,11.6,12.1,Nov/21,%
Spain,13.33,14.57,Dec/21,%
South Africa,34.9,34.4,Sep/21,%
